song_id,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20
S69,5,0,0,5,1,5,0,2,5,4,0,4,0,3,0,4,3,0,1,3
S70,5,0,1,1,3,3,4,2,0,3,4,1,3,2,3,4,5,2,5,0
S71,3,5,5,3,3,4,5,4,3,1,2,5,1,3,0,5,3,5,1,4
S72,3,2,5,4,4,5,3,5,2,0,3,0,1,1,1,0,1,2,4,1
S73,0,3,3,0,0,2,4,0,0,4,2,3,1,5,5,0,2,5,1,5
S74,5,2,2,4,0,4,0,0,3,5,1,3,4,3,2,5,1,1,1,5
S75,1,1,4,4,2,3,4,2,3,4,2,0,2,1,4,3,1,0,3,2
S76,1,5,3,0,3,1,5,1,3,0,0,5,4,4,0,1,2,2,5,0
S77,0,4,5,3,3,1,4,0,0,3,0,0,5,3,3,3,4,2,1,0
S78,1,2,5,5,5,0,4,4,4,3,2,2,0,5,3,2,5,3,5,1
S79,1,2,3,0,4,2,0,0,2,3,4,5,4,0,5,5,4,4,0,5
S80,4,4,5,1,2,2,4,1,4,4,2,5,4,5,5,0,2,2,0,0
S81,4,2,1,4,4,0,1,4,1,3,2,2,0,3,3,5,1,4,4,2
S82,2,4,0,3,1,5,2,2,3,3,4,1,1,3,1,5,0,5,1,4
S83,0,3,3,3,1,0,5,1,2,5,0,0,1,0,5,5,5,5,3,0
S84,5,4,4,2,0,3,5,5,4,0,2,5,5,0,3,1,4,3,5,0
S85,5,4,3,1,1,5,1,3,1,0,0,4,2,2,1,2,3,3,2,4
S86,5,1,2,0,4,3,2,4,2,1,2,3,2,5,4,3,4,5,4,0
S87,2,0,2,0,4,5,2,2,1,3,0,4,4,5,2,5,3,3,3,3
S88,0,5,5,3,4,1,1,3,0,3,1,2,4,5,2,1,2,5,3,3
S89,4,3,3,1,2,3,1,4,0,2,5,4,3,0,4,0,3,5,4,2
S90,4,2,1,5,3,4,0,0,4,2,0,5,5,5,5,2,1,2,4,5
S91,1,2,4,3,3,1,2,3,5,3,2,3,3,5,1,1,0,2,5,3
S92,1,5,1,5,3,2,4,2,5,3,4,0,1,1,1,3,1,4,1,1
S93,4,2,5,5,3,1,2,1,1,2,0,3,4,1,2,4,2,3,1,0
S94,4,0,2,1,1,4,0,5,0,1,1,5,2,2,4,2,0,3,3,4
S95,5,4,2,0,0,0,4,1,1,0,0,0,2,5,0,1,4,1,0,2
S96,0,4,3,1,3,5,4,0,1,3,3,1,1,0,0,5,3,5,2,4
S97,1,0,3,5,2,4,1,2,0,5,0,5,3,3,0,5,2,0,5,4
S98,5,4,1,1,0,5,0,5,3,1,3,3,3,1,5,0,3,1,4,0
S99,3,1,5,1,5,4,1,1,5,5,3,2,5,0,3,5,1,4,4,1
S100,0,2,1,2,3,5,2,5,5,3,5,2,2,1,0,1,4,1,4,3
